council_id,council_name,tree_loss_rating,tree_loss_percent,is_tree_loss,is_climate,is_bushfire,bushfire_count,tree_loss_url,carbon_url,biomass_url,bushfire_url
11,Mount Alexander Shire,77,1.8,0,1,1,18,This area does not face this threat,"<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/carbonStock/country/AUS/10/54""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/whrc-biomass/country/AUS/10/54""></iframe>","<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/firesAlerts/country/AUS/10/54?firesAlerts=eyJpbnRlcmFjdGlvbiI6e319""></iframe>"
12,Latrobe City,6,38,1,0,1,29,"<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/treeLoss/country/AUS/10/37?treeLoss=eyJpbnRlcmFjdGlvbiI6e319""></iframe>",This area does not face this threat,This area does not face this threat,"<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/firesAlerts/country/AUS/10/37?firesAlerts=eyJpbnRlcmFjdGlvbiI6e319""></iframe>"
13,Greater Geelong City,76,1.9,0,1,1,11,This area does not face this threat,"<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/carbonStock/country/AUS/10/27""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/whrc-biomass/country/AUS/10/27""></iframe>","<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/firesAlerts/country/AUS/10/27?firesAlerts=eyJpbnRlcmFjdGlvbiI6e319""></iframe>"
14,Casey City,68,3.3,0,1,0,0,This area does not face this threat,"<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/carbonStock/country/AUS/10/14""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/whrc-biomass/country/AUS/10/14""></iframe>",This area does not face this threat
15,Hindmarsh Shire,2,62,1,1,1,37,"<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/treeLoss/country/AUS/10/30?treeLoss=eyJpbnRlcmFjdGlvbiI6e319""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/carbonStock/country/AUS/10/30""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/whrc-biomass/country/AUS/10/30""></iframe>","<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/firesAlerts/country/AUS/10/30?firesAlerts=eyJpbnRlcmFjdGlvbiI6e319""></iframe>"
16,Buloke Shire,4,43,1,1,0,0,"<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/treeLoss/country/AUS/10/11?treeLoss=eyJpbnRlcmFjdGlvbiI6e319""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/carbonStock/country/AUS/10/11""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/whrc-biomass/country/AUS/10/11""></iframe>",This area does not face this threat
17,Yarriambiack Shire,3,59,1,1,1,62,"<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/treeLoss/country/AUS/10/80?treeLoss=eyJpbnRlcmFjdGlvbiI6e319""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/carbonStock/country/AUS/10/80""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/whrc-biomass/country/AUS/10/80""></iframe>","<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/firesAlerts/country/AUS/10/80?firesAlerts=eyJpbnRlcmFjdGlvbiI6e319""></iframe>"
18,Moyne Shire,30,11,1,1,1,18,"<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/treeLoss/country/AUS/10/55?treeLoss=eyJpbnRlcmFjdGlvbiI6e319""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/carbonStock/country/AUS/10/55""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/whrc-biomass/country/AUS/10/55""></iframe>","<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/firesAlerts/country/AUS/10/55?firesAlerts=eyJpbnRlcmFjdGlvbiI6e319""></iframe>"
19,Maroondah City,41,7.4,0,1,0,0,This area does not face this threat,"<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/carbonStock/country/AUS/10/43""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/whrc-biomass/country/AUS/10/43""></iframe>",This area does not face this threat
20,Ballarat City,8,34,1,1,1,52,"<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/treeLoss/country/AUS/10/3?treeLoss=eyJpbnRlcmFjdGlvbiI6e319""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/carbonStock/country/AUS/10/3""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/whrc-biomass/country/AUS/10/3""></iframe>","<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/firesAlerts/country/AUS/10/3?firesAlerts=eyJpbnRlcmFjdGlvbiI6e319""></iframe>"
